id_ptn,ptn_nama,jalur,id_prodi,kode_prodi,prodi,jenjang,portofolio,kelompok_bidang,is_fakultas,is_new,daya_tampung_kini,tahun,daya_tampung,peminat,terima,peminat_lag1,peminat_lag2,daya_tampung_lag1,terima_lag1,jumlah_prodi_ptn,total_peminat_ptn,proporsi_peminat_lokal,jumlah_provinsi_asal
141,UNIVERSITAS ANDALAS,SNBP,141018,11411018,FARMASI,S1,Tidak Ada,kesehatan,0,0,40,2025,36,1406,36,1298,1568,40,40,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141019,11411019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,Tidak Ada,pertanian,0,0,56,2021,33,205,33,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141019,11411019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,Tidak Ada,pertanian,0,0,56,2022,24,206,24,205,,33,33,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141019,11411019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,Tidak Ada,pertanian,0,0,56,2023,36,160,36,206,205,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141019,11411019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,Tidak Ada,pertanian,0,0,56,2024,49,162,49,160,206,36,36,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141019,11411019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,Tidak Ada,pertanian,0,0,56,2025,56,227,56,162,160,49,49,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141020,11411020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,Tidak Ada,pertanian,0,0,56,2021,33,256,33,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141020,11411020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,Tidak Ada,pertanian,0,0,56,2022,24,211,24,256,,33,33,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141020,11411020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,Tidak Ada,pertanian,0,0,56,2023,42,252,42,211,256,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141020,11411020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,Tidak Ada,pertanian,0,0,56,2024,49,196,49,252,211,42,42,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141020,11411020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,Tidak Ada,pertanian,0,0,56,2025,56,404,56,196,252,49,49,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141021,11411021,SISTEM INFORMASI,S1,Tidak Ada,teknik,0,0,30,2021,26,667,26,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141021,11411021,SISTEM INFORMASI,S1,Tidak Ada,teknik,0,0,30,2022,20,633,20,667,,26,26,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141021,11411021,SISTEM INFORMASI,S1,Tidak Ada,teknik,0,0,30,2023,20,558,20,633,667,20,20,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141021,11411021,SISTEM INFORMASI,S1,Tidak Ada,teknik,0,0,30,2024,20,605,20,558,633,20,20,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141021,11411021,SISTEM INFORMASI,S1,Tidak Ada,teknik,0,0,30,2025,20,570,20,605,558,20,20,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141022,11411022,PSIKOLOGI,S1,Tidak Ada,sosial_humaniora,0,0,30,2021,45,712,45,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141022,11411022,PSIKOLOGI,S1,Tidak Ada,sosial_humaniora,0,0,30,2022,30,748,30,712,,45,45,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141022,11411022,PSIKOLOGI,S1,Tidak Ada,sosial_humaniora,0,0,30,2023,30,782,30,748,712,30,30,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141022,11411022,PSIKOLOGI,S1,Tidak Ada,sosial_humaniora,0,0,30,2024,30,599,30,782,748,30,30,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141022,11411022,PSIKOLOGI,S1,Tidak Ada,sosial_humaniora,0,0,30,2025,30,487,30,599,782,30,30,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141023,11411023,ILMU TANAH,S1,Tidak Ada,pertanian,0,0,65,2021,36,159,36,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141023,11411023,ILMU TANAH,S1,Tidak Ada,pertanian,0,0,65,2022,24,171,24,159,,36,36,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141023,11411023,ILMU TANAH,S1,Tidak Ada,pertanian,0,0,65,2023,60,192,60,171,159,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141023,11411023,ILMU TANAH,S1,Tidak Ada,pertanian,0,0,65,2024,65,155,65,192,171,60,60,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141023,11411023,ILMU TANAH,S1,Tidak Ada,pertanian,0,0,65,2025,65,163,65,155,192,65,65,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141024,11411024,AGROEKOTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,75,2021,45,181,45,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141024,11411024,AGROEKOTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,75,2022,30,142,36,181,,45,45,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141024,11411024,AGROEKOTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,75,2023,82,218,82,142,181,30,36,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141024,11411024,AGROEKOTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,75,2024,72,129,72,218,142,82,82,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141024,11411024,AGROEKOTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,75,2025,70,148,70,129,218,72,72,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141025,11411025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,Tidak Ada,pertanian,0,0,40,2021,30,52,30,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141025,11411025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,Tidak Ada,pertanian,0,0,40,2022,20,78,26,52,,30,30,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141025,11411025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,Tidak Ada,pertanian,0,0,40,2023,40,82,40,78,52,20,26,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141025,11411025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,Tidak Ada,pertanian,0,0,40,2024,40,51,40,82,78,40,40,56,18791,,
